source_id,weight,panel_id,period_start,period_end,selection,study_id,corpus_id,data_version,method_version,indicator_version,validation_status
evarazdin.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
faktograf.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
ferata.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
fiuman.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
germanijak.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
glas-slavonije.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
glasistre.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
gloria.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
grazia.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
hia.com.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
hkm.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
hrt.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
hrturizam.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
ictbusiness.info,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
imperijal.net,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
index.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
infozona.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
inverzija.net,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
ipress.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
istrain.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
jaskadanas.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
journal.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
jutarnji.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
karlovacki.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
klikaj.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
krizevci.info,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
kronikevg.com,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
